Boađus: 15 667
» Sii vástidedje : « Mii ba das 	guoská 	midjiide ? #ILL Sem/Hum
Go ovddiduvvo doaibmabidjoplánaevttohus daid surggiide mat 	gusket 	Sámediggedieđáhussii oahpahusa ja oahpu birra Sámedikki dievasčoahkkimii , de lea deaŧalaš ahte váikkuhangaskaoapmeapparáhta lea geahčaduvvon ja sihke Sámedikki , regionála orgánaid ja nationála orgánaid gáibádusat go áigu árvvoštallat áŋgiruššama suorggis dan politihka olis maid Sámediggi háliida duohtan čađahit .
Lunddolaš lea ahte dákkár čuovvolanáššis oainnusmahttojuvvo konkrehta dárbu oažžut eanet juolludusaid go duođai lea dárbu vuođđooahpahusa sierra surggiin go 	guoská 	sámi beliide .
Sámedikki rolla mii 	guoská 	oahpahusa sisdollui ja vuođustussii , lea ahte Sámediggi lea mielde mearrideamen eavttuid oahppoplánaide
Sámediggi berre bargat árjjalaččat dainna ulbmiliin ahte oažžut alit oahppoásahusaid sihkkarastit ahte dakkár fáttát váldojuvvojit mielde oahpuide , ja ahte sámegiella čiekŋudeapmin fállojuvvo oahpaheaddjioahpu studeanttaide ortnega vuođul mii lea rehkenastojuvvon 	guoskat 	olles 30 studentii , geahča juolludemiid sámi áigumušaide stáhtabušeahtas .
Maŋemus áiggiid lea medias boahtán ovdan ahte dárogielat oahpponeavvut maid sihke dáru ja sámi mánát geavahit vuođđooahpahusas , leat máŋgga háve vuđolaš kvalitehtaváilivuođat mat 	gusket 	dan diehtaga mii boahtá ovdan sámi áššiid birra .
Kulturskuvla , astoáiggeortnet ja leaksoveahkki Mii 	guoská 	kulturskuvlii , astoáigeortnegii ja leaksoveahkkái , de berrejit dát divaštallamat gehččot ollesbeaiskuvlla ságastallama ektui .
Dat mielddisbuktá ahte oahpahus ii sáhte heivehuvvot doarvái bures , ja dat 	guoská 	erenoamážit fidnofágaide .
Fágaide mat 	gusket 	fidnofágaide sáhttá earret eará oažžut fágareivve duojis , fágareivve boazodoalus ja eará guovddáš oahpuin mat dárbbašuvvojit sámi servodagas .
Dát mielddisbuktá ahte ferte sihkkarastot ahte leat dohkálaš oahpaheaddjit ja bagadeaddjit joatkkaskuvlla oahpaheamis , ahte leat doarvái oahpponeavvut ja oahpporesursat , ja ahte lea eanet dutkan dakkár fáttáin mat 	gusket 	fága- ja fidnooahpahussii .
Dát mielddisbuktá maid dan ahte mihttomearit mat 	gusket 	dasa ahte sihkkarastit dan ahte eanet gánddaid vázzet lohppii fidnoskuvllaid ovdamearkadihti Finnmárkkus lea okta dain hástalusain maid ferte lagabui iskat , ferte maid lagabui geahččat fága- ja fidnooahpahusa kvalitehta , ja maid geahččat leago beaktil sámi servvodahkii ja maid leago olámuttos oahpu , ja maid iskat mo lea dilli fidnoohppiid sajiid ektui ja geahččat fidnoohppiid áigodaga ruhtadeami .
Lea maiddái dehálaš definere doaibmabijuid mat 	gusket 	fága- ja fidnooahppu stáhtusii bargoeallima ja servvodaga oktavuođas .
Dasa 	guoská 	sámi ovddastupmi Ungt Entreprenørskap:as fylkkain .
Go lea vuosttaš geardi go Sámdiggi ráhkada dákkár bajitdási dieđáhusa mii 	guoská 	oahpaheapmái ja oahpahussii , de mearkkaša dat ahte dieđáhus ferte sisttisdoallat muhtun prinsihpalaš čielggademiid , earenoamážit dan ektui mii lea Sámedikki rolla .
Dáinna dieđáhusain áigu Sámediggi čalmmustahttit oahpahuspolitihkalaš hástalusaid ja prinsihpalaš beliid mat 	gusket 	Sámedikki rollii oahpahuspolitihkas .
Dasa lassin lea oktavuohta ja gulahallan guovddáš eiseválddiiguin mearrideaddjin dasa ahte doallá go Norga iežas álbmotrievttalaš geatnegasvuođaid mat 	gusket 	sámi mánáide ja nuoraide , ja sámi álbmogii ollislaččat .
Sámediggedieđáhus fátmmasta viidát ja guoskkahallá eanas áššiid mat 	gusket 	sámi bajášsaddamii ja oahpahussii .
Eanas dat leat dakkár áššit nugo oahpahusa rámma mii lea mearriduvvon lágain ja láhkaásahusain , suohkaniid ja fylkasuohkaniid politihkalaš ja hálddahuslaš mearrádusat mat 	gusket 	skuvllaide ja daid fálaldagaide , ja makkár ovttasbargu lea fidnodagaiguin gos fidnooahppit galget oažžut oahpu .
Eanas áššit 	gusket 	dihto doaimmaide maid sihke sámi nuorat ja rávisolbmot dáhtoše Sámedikki ásahit , oassin ollislaš oahpahuspolitihka ovddideamis .
Norgga oahpahusláhka 	guoská 	vuođđoskuvlii , joatkkaoahpahussii ja rávisolbmuid oahpahussii .
Dat 	guoská 	buot sámegielaide mat geavahuvvojit Norggas ; namalassii nuortalaš , - davvi , - bihtán , - julev- ja lullisámegillii .
Go dieđáhusas čállojuvvo sámegiella , de dat 	guoská 	buot sámegielaide , jus ii čujuhuvva guđege gillii earenoamážit .
Sámi skuvllas ja oahpahusas lea guovddáš sadji sámi servodaga ovddideamis , ja Sámediggi guorrasa daid bajitdási rávvagiidda maid sámi skuvladutkit lea buktán , mat 	gusket 	sámi skuvlla sámi sisdollui .
Sámedikkis nugo sápmelaččaid álbmotválljejuvvon ásahusas lea maid sadji digaštallamiin mat 	gusket 	sámi skuvllaid árvovuođu ovddideapmái .
Dat 	guoská 	maid sámi skuvlii .
Sámi álbmoga álbmotválljejuvvon ásahussan galgá Sámediggi jođihit doaimmas oahpahussuorggis nu ahte dat lea vuođđuduvvon sámi árvvuide ja bajitdási sámepolitihkalaš prinsihpaide mat 	gusket 	sámi iešmearrideapmái ja sápmelaččaid riikkaidgaskasaš ovttasbargui .
Sámedikki bušeahttamearrádusat 	gusket 	buot Sámedikki politihkkasurggiide .
Norga lea ratifiseren ON konvenšuvnna mii 	guoská 	mánáid vuoigatvuođaide ( mánáidkonvenšuvnna ) 1991:s .
Maiddái ON konvenšuvdna siviila ja politihkalaš vuoigatvuođaid birra ( SP ) sisttisdoallá 24. artihkkalis sierra mánáide 	guoski 	mearrádusaid .
Mearrádus gusto earenoamážit mánáide , muhto dat 	guoská 	maiddái rávisolbmuide geat ásset olggobealde iežaset ruovttuservodagaid , mii mearkkaša ahte mearrádusa sáhttá geavahit rávisolbmuid oahpahusa ektui .
Dat 	guoská 	ábaida Davviriikkaid sámegielaid duođaš dillái , dat leat gažaldagat mat galget vuđoleappot suokkardallojuvvot sierra gielladieđáhusas .
Ulbmil čielggademiin lei bálddastahttit davviriikkaid oahpahusdili ja kártet erohusaid mat 	gusket 	sámegielaid dillái , lágaide , veahkkeváriide , oahppoplánaide , hálddašeapmái jna. .
Raporta čujuha ahte riikkaid oahppoplánain leat stuora erohusa , ja dasa lassin leat erohusat mat 	gusket 	gillii stuorámus cakkit mat dagahit ahte ii sáhte nuppi riikkaid oahpponeavvuid geavahit .
Raporta čujuha maid ahte dien golmma riikkas leat hui iešguđetlágan ruhtadanortnegat mat 	gusket 	dasa movt ruhtadit oahpahusa sámegielas ja sámegillii , ja maiddái iešguđetlágan doarjjaortnegat sámegiel oahpponeavvuid ovddidanbargui .
Mii 	guoská 	sápmelaččaid birra diehtojuohkimii , de manná evttohus veaháš olggobeallái našunála rievtti .
Davviriikkalaš sámekonvenšuvdnaevttohusas leat artihkkalat 26 , 28 ja 30 mat ábaida 	gusket 	oahpahussuorgái .
Nubbe lađas 	guoská 	sápmelaččaide geat ásset olggobealde dieid guovlluid .
Oahpahuslága njuolggadusat devdet 26. artihkkala gáibádusaid mat 	gusket 	oahpaheapmái vuođđoskuvllas .
Vuosttaš lađđasa vuosttaš ja nuppi čuoggá sáhtášii áimmahuššat dan láhkái ahte biddjo gáibádussan ahte našuvnnalaš oahppoplánain , mat 	gusket 	buot ohppiide , galgá leat sámi sisdoallu , gč. oahpahuslága § 6-4 .
Sáhttá gal diehttelas maid jearrat galgá go gáibádus mii 	guoská 	sámi kulturoahpahussii , nugo namuhuvvon 28. artihkkalis , maiddái gustot vuođđooahpaheamis viidáseappot .
Maiddái goalmmát čuoggá gáibádus ; mii 	guoská 	sámi kulturoahpaheapmái olbmuide geat galget bargat sámi guovlluin , lea juoga ođas Norgga lágaid ektui 28. artihkkala nubbe lađas nanne stáhtaid geatnegasvuođa bearráigeahččat ahte jođihuvvo almmolaš diehtojuohkin sápmelaččaid birra , ja ahte dat dahkko ráđđálaga sámedikkiiguin .
24. artihkal geatnegahttá stáhtaid suodjalit , ovddidit ja viidánahttit sámegiela , ja das leat maid njuolggadusat mat 	gusket 	sámegiela geavaheapmái almmolaš oktavuođain .
Stuoradiggi mearrida juolludemiid ja lea láhkaaddi eiseváldi mii mearrida ráđđehusa evttohusaid mat 	gusket 	oahpahusa ulbmiliidda ja rámmaide , nu maiddái oahpahuslága .
Oahpahusláhka addá departementii láhkavuođa man vuođul sáhttá mearridit láhkaásahusaid ; omd. dan ektui man ollu oahpahusáigi oktiibuot galgá leat joatkkaoahpus , fidnoohppiide ja oahpaheaddjekandidáhtaide , ja maiddái láhkaásahusa mii 	guoská 	joatkkaoahpahusa cehkiide ja prográmmasurggiide ( fálaldagaide ) .
Sámediggi lea oahpahuslágas ožžon válddi mii 	guoská 	oahppoplánaide , muhto dat lea hui gáržžes váldi .
Dát mearrádus 	guoská 	sidjiide geaidda eará njuolggadusat eai atte vuoigatvuođa oažžut sámegieloahpahusa agi , ássanguovllu jna , geažil .
Vuoigatvuohta dán paragráfa mielde 	guoská 	buohkaide , sihke sápmelaččaide ja earáide .
Oahpahuslága § 6-3 	guoská 	joatkkaoahpahusa ohppiide .
Sámi ohppiin lea juohkehažžii 	guoski 	( individuála ) riekti oažžut oahpu sámegielas joatkkaskuvllas .
Mii 	guoská 	rávisolbmuid oahpporiektái , de dadjá oahpahuslága § 4A-1 ahte rávisolbmuin lea vuoigatvuohta oažžut heivehuvvon vuođđoskuvlaoahpaheami .
Vuoigatvuohta beassat joatkkaohppui 	guoská 	sidjiide geat leat čađahan vuođđoskuvlla dahje sullasaš oahpu , ja geat ovdal eai leat ollasii čađahan joatkkaoahpahusa .
Sámediggi lea ásahan ovttasbargošiehtadusaid sámi guovlluid fylkasuohkaniiguin , mat maiddái 	gusket 	oahpahuspolitihkkii .
artihkkala ovttasbargošiehtadusas mii lea ráhkaduvvon Finnmárkku fylkasuohkaniin ; mas daddjo ahte goappešat šiehtadusbealálaččat áiguba bargat dan badjelii ahte fylkka joatkkaskuvllat láhčet oahpu sámegielfágain ja dat 	guoská 	maid fágaid sámi sisdollui.7 Viđat artihkal šiehtadusas mii lea ráhkaduvvon Romssa fylkasuohkaniin lea mihá dárkileabbo go Finnmárkku šiehtadus , das daddjo earet eará ahte šiehtadusbealálaččat áiguba bargat dan badjelii ahte joatkkaskuvllain Romssa fylkkas galgá oahpahus lágiduvvot Máhttolokten – sámi oahppoplánaid mielde , ja ahte fylkasuohkan áigu álggahit dihto prográmmafágaid.8 Viđat artihkal sisttisdoallá maid doaimmaid nugo ohppiid hospiterema ja ohppiid lonohallama sámi guovlluin .
Viidáseappot leat šiehtadusat dan birra movt galgá áŋgiruššat oažžut oahpaheddjiid ja loktet oahpaheddjiid sámegielfágaide guoskivaš gelbbolašvuođa joatkkaskuvllas , ja gelbbolašvuođa mii 	guoská 	fágaid sámi sisdollui .
Ovttasbargošiehtadus mii Romssain lea dahkkon , sisttisdoallá máŋga oahpponeavvokárten doaimma ja doaimma mat 	gusket 	rávisolbmuidoahpaheapmái .
Sámedikki rolla mii 	guoská 	oahpahusa sisdollui ja vuođustussii , lea ahte Sámediggi lea mielde mearrideamen eavttuid oahppoplánaide .
Raportta čájeha ahte leat erohusat mii 	guoská 	sámegiel ja sámegillii oahpahussii .
Dan golmma sámegiela guovlluin leat sierralágan hástalusat sihke dan ektui mii 	guoská 	oahpaheddjiid ja oahpponeavvuid skáhppomii , ja maiddái das makkár oktavuohta lea oahppoplánaid áigumušain ja duohta dilis – makkár veahkkevárit leat gávdnamis , nugo iešguđetlágan mediat ja giellabáikkit .
Dat 	guoská 	earenoamážit lullisámi oahpahussii .
Jahkásaš bušeahttamearrádusain maid Sámedikki dievasčoahkkin dahká , lea vejolaš divodit vuoruhanlisttu mii 	guoská 	allaoahpu oahppostipeanddaide .
Muđui áigut gieđahallat eará prinsihpalaš gažaldagaid mat 	gusket 	sámi alitdási ohppui sierra čielggadusas dahje dieđáhusas mas meannudit sámi alitdási oahpu .
Sámediggi oaidná ahte jus galgat lihkostuvvat sihke bargguin mii 	guoská 	oahpaheaddjeohppui ja maiddái eará alitdási oahpuiguin , de dat ferte leat ovttasbargu mas máŋga eará oassálasti leat mielde .
Butenschøn-lávdegoddi lea dál čielgggadeamen ollu dilálašvuođaid mat 	gusket 	sámi dutkamii ja allaohppui našunála , regionála ja internašunála geahččanguovllus .
Mii 	guoská 	dasa ahte oččodit eanebuid váldit alitdásis sámi oahpu , de lea sámegiel institušuvnnain duppal hástalus . #ILL
Dan barggus lea Sámediggi leamaš mielde ja lea leamaš ráđđádallamiin mat 	gusket 	strategiijadoaimmaide .
Mii diehtit ahte sámegiel oahpaheddjiin dávjá lea váttis bargodilli , sihke fágalaš birrasa dáfus ja maiddái go 	guoská 	njuolgut bargobirrasii .
Matematihkas lea maid dárbu hukset gelbbolašvuođa mii 	guoská 	sámegiel fágatearpmaide ja praktihkalaš metodaid geavaheapmái .
Sámediggi oaidná maid dárbbu ásahit lagat gulahallama lágádusaiguin ja skuvlaoamasteddjiiguin áššiin mat 	gusket 	oahpponeavvuid geavaheapmái ja buvttadeapmái .
Sámediggi lea ruhtadan pilohtaprošeavtta Ájluovtta skuvllas Divttasvuonas , mii lea okta dain ođđa doaimmain mat 	gusket 	oahpponeavvuid ovddideapmái .
Oahpahuspolitihkalaš hástalus mii 	guoská 	buot sámi giellaguovlluide , lea ahte leat oalle unnán olbmot Norggas geat dieid gielaid hupmet .
Sámediggi lea juo čađahan politihkalaš doaimmaid maiguin dustet hástalusaid mat 	gusket 	earenoamážit áitojuvvon sámegielaide .
: “ Buot mii 	guoská 	giela ja oahpahusa heiveheapmái , beaivválaš bearašgielas mánáidgárdái ja viidáseappot skuvllaide , berre mu árvvoštallama mielde gessojuvvot miha čielgaseappot ovdan ja oainnusindahkkojuvvot miha buorebut go dál .
13 Geahča Gáldu – Álgoálbmogiid vuoigatvuođaid gelbbolašvuođaguovddáža loahppaárvvoštallama eamiálbmogiid rivttiid birra , Seminára iešguđetlágan oainnuid birra mat 	gusket 	iešmearrideapmái , Gáldu Čála – Eamiálbmotvuoigatvuođaid áigečála , Nr. 2/2009,”Sámi/2 iešmearrideapmi : Oahpahus , dutkan ja kultuvra ” , s.24 .
Daid rámmaid siskkobealde maid departemeanta mearrida , lea Sámedikkis váldi addit láhkaásahusa mii 	guoská 	diekkár oahpu sisdollui .
Dan rájes go Sámedikki ja stáhtalaš eiseválddiid konsultašuvdnavuohki mearriduvvui Gonagaslaš resolušuvnnain 2005:s , galgá Sámedikkiin ráđđádallat buot oahpahusáššiin mat 	gusket 	sámi beroštumiide .
Muhto leat maid ollu hástallusat ovddabealde , earenoamážit gažaldagain mat 	gusket 	dasa movt ollislaččat lahkonit sámi oahpahuspolitihkkii .
Sivvan dasa lea muhtun muddui dat ahte sámepolitihkka lea dego luovos oassi dain iešguđet departemeanttain , muhto maiddái dat ahte oahpahusáššit ( prošeaktadoarjagat oahpponeavvuide , earenoamáš doarjagat skuvlajođiheapmái ja sullasaččat ) álo leat Máhttodepartemeanta vuollásaš áššit , muhto dat 	gusket 	maid eará departemeanttaide main lea váldoovddasvástádus sámepolitihkalaš áššiide .
Dan oktavuođas lea lunddolaš geahčadit lea go dárbu ollislaččat divodit Sámelága njuolggadusaid mat 	gusket 	Sámediggái ja oahpahuslágas dan oasi mii gusoká Sámedikki váldái .
Ovttasbargošiehtadusat leat veaháš iešguđetláganat sihke hámi ja sisdoalu dáfus , muhto šiehtadusain ii leat detáljadásis daddjojuvvon makkár surggiide 	gusket 	.
Sámediggi lea máŋgga geardde gieđahallan ja digaštallan njuolggadusaid mat 	gusket 	sámegiel oahpahusa refušuvdnamáksinmeriide .
Sámi joatkkaskuvllaid geatnegasvuohta fállat sámegiel oahpu evttohuvvui nannejuvvot láhkaásahusa rievdademiin , ja seamma maid go 	guoská 	geatnegasvuhtii fállat oahpu Máhttolokten-Sámi oahppoplánabuktosiid mielde .
Joavkku ráva mii 	guoská 	dasa ahte skuvlla doaibma galgá ruhtaduvvot stáhtabušeahta 222. kapihttalis , sisttisdoalai maid dan ahte skuvlla doaibma galggai ruhtaduvvot seammaládje go Snoasa ja Romssa sámi skuvllaid oahpahus-ja internáhttabálvalusat ruhtaduvvojit . #ILL
Muhto Sámediggi oaidná dárbbu rievdadit lágaid mat 	gusket 	vuoigatvuhtii oažžut sámegieloahpu joatkkaoahpahusas .
Mii 	guoská 	duoid eará sámeskuvllaid oamasteapmái mat dál leat stáhta hálddus , nugo ovdamearkkadihte Gaske- Nøørjen Saemienskovle Aarbortes , mii lea vuođđoskuvla maid stáhta oamasta .
Sámedikki strategalaš plánas mii 	guoská 	oahpponeavvuid ovddideapmái leat čuovvovaš váldomihttomearit movt áigodagas 2008-2011 ovddidit oahpponeavvuid : Unnimusat 135 álggahuvvon oahpponeavvoprošeavtta mat gusket Máhttolokten-sám oahppoplánaide .
Sámedikki strategalaš plánas mii guoská oahpponeavvuid ovddideapmái leat čuovvovaš váldomihttomearit movt áigodagas 2008-2011 ovddidit oahpponeavvuid : Unnimusat 135 álggahuvvon oahpponeavvoprošeavtta mat 	gusket 	Máhttolokten-sám oahppoplánaide .
Makkár dilli lei čakčamánus 2011 : 151 oahpponeavvoprošeavtta mat 	gusket 	Máhttolokten-sámi oahppoplánaide .
Mii 	guoská 	oahpaheddjiid oččodeapmái , de lea buorre oaidnit ahte julevsámegiel ohcciid lohku Nordlándda universitehta oahpaheaddjeohppui lea lassánan , dat váikkuha bures maŋit áiggi oahpaheaddjedillái julevsámegielas .
Našunála oahpahuspolitihkka ferte sisttisdoallat ulbmiliid ja strategiijaid mat sihkkarastet ahte vuolimus standárddat mat 	gusket 	eamiálbmogiidda čuvvojuvvojit .
Diekkár mieđiheami vuođul galgá eaŋkiloahppi oahpahuspolitihkalaš bajesmusdási ulbmil leat ahte sámi oahppis lea seamma árvu go eará ohppiin mii 	guoská 	riektái oažžut oahpu .
Nannensuorgi 	guoská 	bajitdási gažaldagaide nugo oahpahussuorggi válddi hálddašeapmái , árvvuide maid Máhttolokten galggai ovddidit ja maidda galggai huksejuvvot , ja dat guoská maid dan gažaldahkii ahte gean ovddasvástádus lea sihkkarstit ahte sámi skuvla ja sámi oahppi oažžu kvalitehta dáfus buori oahpu mii lea huksejuvvon sámi árvvuide .
Nannensuorgi guoská bajitdási gažaldagaide nugo oahpahussuorggi válddi hálddašeapmái , árvvuide maid Máhttolokten galggai ovddidit ja maidda galggai huksejuvvot , ja dat 	guoská 	maid dan gažaldahkii ahte gean ovddasvástádus lea sihkkarstit ahte sámi skuvla ja sámi oahppi oažžu kvalitehta dáfus buori oahpu mii lea huksejuvvon sámi árvvuide .
Nannensuorgi bidjá maid smiehttat ahte dárbbašuvvo árvoságastallan mii 	guoská 	dasa makkár árvvuide min mánáid ja nuoraid oahpahus galgá vuođustuvvot , ja movt dan buoremus lági mielde galgá dahkat . #ILL
Sámediggi oaidná maid dárbbu nannet skuvlaoamasteddjiid ja oahpaheddjiid gelbbolašvuođa mii 	guoská 	sámi ohppiid rivttiide .
Máhttoloktema árvvoštallan čájeha ahte lea stuora gaska ovdagova ja duohtavuođa gaskka mii 	guoská 	sámegiela oahpaheapmái Norggas .
Dat 	guoská 	earenoamážit guovlluide mat leat olggobealde sámegiela hálddašanguovllu , muhto maiddái hálddašanguovllu suohkaniidda gos sámegiella ii leat geatnegahttejuvvon .
Dat 	guoská 	earenoamážit guovlluide mat leat olggobealde sámegiela hálddašanguovllu .
Sámediggi dáhttu váikkuhit dasa ahte stáhta eiseválddit čuvvot internašuvnnalaš geatnegasvuođaid maidda Norga lea iežas čatnan , mat 	gusket 	dasa ahte sápmelaččain nugo eamiálbmogis lea riekti oažžut oahpahusa sámegielas ja sámegillii .
Diet mihttomearit fertejit maid 	guoskat 	sámi ohppiide , sámi geahččanguovllus .
Sihke čielggadeami ovddideami oktavuođas dievasčoahkkimii , eaŋkilolbmuid jearahallamiin ja álbmotčoahkkimiin leat ožžon čielgasit dihtosii ahte leat ollu hástalusat mat 	gusket 	gáidosisoahpaheapmái .
