Boađus: 1 283
                                

    Administrative texts –
Muhto juos dulka ii vanat njuolggadusaid , massá geavaheaddji álkit luohttámuša ja     geassáda     iežas sisa .  #DE-Ill (refl)
Per A. Bæhr ii diehtán ovdal aviisa manai deaddileapmái , ahte boahtá go     geassádit     eret obba ráđis , vai dušše friddjajoavkkus . #eret+SO-Loc (refl)
Guovdageainnu Johttisápmelaččaid Searvvi ( GJSS ) ovdaolbmo mielas dagai áibbas riekta searvvi sámediggeáirras Per A. Bæhr , go mearridii     geassádit     ovttasbargat Dáloniid Listtu Isak Mathis O. Hættain Sámedikki ráđis . #SO-Inf (refl, interesting)
– Ii lean dalle riekta Iver M. Eiras     geassádit     bargojoavkkus go leat nu čielga oainnut makkár vugiiguin livččiimet galgan ášši ovddidit . #SO-Loc (refl)
Das lei álgoálggus maiddái Iver M. Eira fárus , muhto lea maŋit áiggi     geassádan     sierranas sivaid geažil maid ii háliit čiekŋaleappot čilget . #0 (refl)
Ráisa lea     geassádan     obba ráiddus eret ekonomalaš sivaid geažil ja go spillarat guđđet joavkku . #SO-Loc+eret (refl)
Pettersen mieđiha ahte sin guovllus leat riiddut mat leat dagahan ahte Tromssa boazodoalloguovllu olggut orohagat leat     geassádan     NBR báikkálaš searvvis . #SO-Loc (refl)
Ášu ovddit váldodoaimmaheaddji Håkon Isak Vars dáhtui Solli     geassádit     Sámedikkis dohkkemeahttun láhttenvuogi geažil . #SO-Loc (refl)
Jánoš áittii     geassádit      #0 (refl)
Go juo guovddáš NSR-miellahtut eai lean ovttaoaivilis movt NSR politihka galgá fievrridit , de Jánoš Trosten celkkii golggotmánus     geassádit     jođiheaddjin searvvis . #RO-Ess (refl)
Dál leat maiddái eará fitnodagat veardideamen     geassádit     go orru čájeheamen ahte fitnodat ii šatta gielddaid eavttuid mielde . #0 (refl)
Lunddolaš váikkuhus dás lea ahte sii     geassádit     iežaset luohttámušdoaimmain NSR:s nu go Biireválgastivrra jođiheaddji lea ge ávžžuhan sihke Ingebrigt Pedersena ja Eva Andersena dahkat . #SO-Loc (refl)
Guokte joavkku mat ledje dieđihuvvon mielde ,     geassádedje     , Beaivesuonjar ja Unjárga . #0 (refl)
– Dát gal ráhkadii midjiide veaháš váttisvuođaid , oainnat go Beaivesuonjar     geassádii     easka vihtta diimmu ovdal_go čiekčamat álge , muhto gal mii čovddiimet dán oalle bures . #0 (refl)
NBR lahttu aviisa Áššu stivrras Nils Isak Eira leat     geassádan     . #0 (refl)
Son lea aitto     geassádan     stivrras ovdal sierra generálčoahkkima mii lea boahtte vahku . #SO-Loc (refl)
– Dalle mun in gillen šat eambbo , ja adden dieđu ahte mun boađán     geassádit     . #0 (refl)
Son ii mieđit ahte sivvan dasa go son     geassáda     , lea ahte son ieš ii šaddan stivrajođiheaddjin dalle ovddit generálčoahkkimis . #0 (refl)
Stádačálli ii hálit duođaštit berre go Oljofoanda     geassádit     Rio Tintos , muhto diktá gažaldaga leat rabasin #SO-Loc (refl)
Riikkastivra gáibidii moadde vahku dás ovdal ahte Pedersen     geassáda     riikkastivrras dassážii_go sámediggeválga lea leamaš . #SO-Loc (refl)
Guovdageaidnu     geassádan     , dat njealjis earát vigget fas oažžut ruđa #0Loc (refl)
Dán vahku lea Guovdageainnu_suohkan     geassádan     ovttasbarggus eret . #SO-Loc+eret (refl)
Váikkuhus dás lea ahte buohkat geat čohkkájit stivrras , fertejit     geassádit     dahje láhččet saji earáide . #0 (refl)
Dát lea čielga eaktu NSR riikkastivra mearrádusas maŋŋel gaskavahkku čoahkkima , gos sii ávžžuhedje Pedersena     geassádit     riikkastivras . #SO-Loc (refl)
Dan_dihte ávžžuha riikkastivra Ingebrigt Pedersena     geassádit     NSR váldoorgánas : #SO-Loc (refl)
Sii gáibidit maiddái ahte Pedersen     geassáda     Gaska-Tromssa válgaguovllustivrras , ja ahte maiddái Sáččá ja Biras sámiid searvvi nubbinjođiheaddji Eva Andersen geassáda guovlluválgastivrras . #SO-Loc (refl)
 #SO-Loc (refl)
Sii gáibidit maiddái ahte Pedersen geassáda Gaska-Tromssa válgaguovllustivrras , ja ahte maiddái Sáččá ja Biras sámiid searvvi nubbinjođiheaddji Eva Andersen     geassáda     guovlluválgastivrras . #SO-Loc (refl)
 #SO-Loc (refl)
Dát mearkkaša čielgasit ahte sii eai obanassiige sáhte dohkkehit ahte Pedersen lea mielde riikkastivrras , ja ahte soitet šaddat álggahit garraset ja duođalaččat ráŋgundoaimmaid jus son ii     geassát     . #0 (refl)
Pedersen lea ožžon áigemearri dán mánu 18. beaivái mearridit     geassáda     go son eaktodáhtolaččat vai ii . #0 (refl)
Son ii sáhte vuos     geassádit     , ja go de muhtin doarju su , de fáhkkestaga jorggiha . #0 (refl)
– Lea mánnálaš láhttenvuohki sus go áitá     geassádit     Deanu sámediggelisttus dan_dihte go son oažžu gilvvu jođiheaddjiválggaide , nu go son logai Sámi_Radioi bearjadaga , beaškala son . #SO-Loc (refl)
Ovdal juovllaid čálii Min_Áigi ahte Guovdageainnu suohkanstivra     geassádii     ovttasbarggus eará suohkaniiguin ásahit oktasaš ovdánahttinfitnodaga . #SO-Loc (refl)
Dál lea Guovdageaidnu     geassádan     , ja dát soaitá mielddisbuktit eambbo olggosgoluid midjiide . #0 (refl)
    Geassáda     ovdánahttin-ovttasbarggus
– Mii     geassádit     jus gielddadepartemeanta ja Sámediggi eai juollut vel eanet go leat ovdal lohpidan . #0 (refl)
    Geassádit      #0 (refl)
Sátnejođiheaddji lohká Porsáŋggu     geassádit     ovttasbarggus jus olggosgolut lassánit . #SO-Loc (refl)
Ođđa njuolggadusat addet vejolašvuođa     geassádit     fitnodagain mat rihkkot lágaid ja konvenšuvnnaid maid Norga leat dohkkehan #SO-Loc (refl)
Dat máksá ahte prinsihpalaččat leat dušše dat fitnodagat mat njuolgut rihkkot ovdamearkka dihte ILO-konvešuvnna , dahje juridihkalaš biras-konvešuvnnaid maid Norgga lea dohkkehan , main Oljofoanda soaitá     geassádit     . #SO-Loc (refl)
Ja jus ráđđi veardida ášši dainnalágiin ahte fitnodagat rihkkot lágaid , de áigu Finánsadepartemeanta veardidit galgá go Oljofoanda     geassádit     dain eret . #SO-Loc+eret (refl)
GEASSÁDA : Svein Ole Sandvik     geassáda     SVL:s ja Sámi riikkajoavkkus . #SO-Loc (refl)
Sandvik     geassáda     riikkajoavkkus #SO-Loc (refl)
Svein Ole Sandvik     geassáda     buot virggiin mat sus leat Sámi_Valáštallan_Lihtus . #SO-Loc (refl)
Dál Sandvik leat mearridan     geassádit     ollasit SVL:s . #SO-Loc (refl)
–     Geassádan     nu ahte sii ožžot ráfis bargat dan maid galget . #0 (refl)
Sandvik lea maiddái SVL Norgga bealde spábbačiekčanlávdegotti jođiheaddji , ja     geassáda     das maid . #SO-Loc (refl)
– Suddu go Sandvik     geassáda      #0 (refl)
– Sandvik lea dahkan hui buori barggu SVL:s , ja mun šállošan go son vállje     geassádit     virggistis , lohká Triumf . #SO-Loc (refl)
– Mii dáhpáhuvvá jus son ii     geassát     gilvaleaddji listtus ? #SO-Loc (refl)
Sámediggeáirras ja ovddeš Sámedikki presideanta Ole Henrik Magga lohká ahte son ii háliit doarjut ii Trostena iige Hætta juste dál , muhto dovddasta ahte lea šaddan eahpesihkarvuohta Trostena ektui maŋŋel_go son čakčat     geassádii     , ja de fáhkkestaga fas áiggui joatkit jođiheaddjin . #0 (refl)
Ja go son seammás áitá     geassádit     Deanu sámedikkelisttus , de orru leame dát oalle mánnálaš dahku . #SO-Loc (refl)
Lea Johttisápmelaččaid áirras Per A. Bær gii     geassáda     Sámediggeráđi ovttasbarggus . #SO-Loc (refl)
Son lei Máze Sáminuoraid Searvvi jođiheaddjin dassážii_go searvi     geassádii     NSRs . #SO-Loc (refl)
Son lei Máze Sáminuoraid Searvvi jođiheaddjin dassážii_go searvi     geassádii     NSRs . #SO-Loc (refl)
“ Mii garrasit ávžžuhit dáid miellahtuid     geassádit     dáin listtuin . #SO-Loc (refl)
Jus sii eai čuovo ávžžuhusa , de mii gáibidit ahte sii     geassádit     Bb:s . #SO-Loc (refl)
Sámedikki várrepresideanta Ragnhild Nystad lea Kárášjoga Sámiid Searvvi ođđa jođiheaddji , maŋŋel_go Hans Solbakken     geassádii     garra čavčča maŋŋel . #0 (refl)
    Geassádit     Kárášjoga joatkkaskuvllas #SO-Loc (refl)
Dál     geassádit     Kárášjoga boazodoallit eret ja sirdet oahpu Guovdageidnui . #eret (refl)
–     Geassát     jođiheaddjin #RO-Ess (refl)
Guovdageainnu sátnejođiheaddji Klemet Erlad Hætta ( SáB ) dáhttu Sámeálbmot Bellodat jođiheaddji Nils A. Gaup     geassádit     . #0 (refl)
Ii leat guhkes áigi go allaskuvlla jođiheapmi áittii     geassádit     ekonomálaš roasuid dihte . #0 (refl)
Bargiidbellodat ii dáhtu čájehit eahpeluohttevašvuođa , iige dáhtu posišuvnna     geassádit     . #TH-Acc (tv)
Áiggui     geassádit      #0 (refl)
Dat mearkkaša ahte livččiimet     geassádit     , lohká GB ovddasteaddji ráđis Svein Peter Pedersen . #0 (refl)
Son lea ieš leamaš Olgešbellodaga áirras gielddastivras , muhto     geassádii     jagi áigi ja ovttasbargagođii Mátta-Várjjat listtuin geas dalle lei okta áirras siste . #0 (refl)
Njuolgga maŋŋel_go Johanne Gaup lei soahpan ovttasbargat Kárášjoga Bargiidbellodagain , sáddii Nils A. Gaup preassadieđáhusa ahte SáB     geassáda     NSR ovttasbargoguoibmin Sámedikkis . #RO-Ess (refl)
Son lei behtohallan ja mearredan     geassádit     Sámedikke joavkočoahkkimiin , go dovddai SáB ii luohte sunnje . #SO-Loc (refl)
Vaikko Guovddášbellodat áittii     geassádit     ovttasbarggu jus posišuvnna joavkkuin váilu luohttámuš ráđi politihkalaš ráđđeaddái Joahnne Gaupii , de Tretnes ain lohká ahte ii luohte politihkalaš gilvaleaddjái gielddadásis . #TH-Acc (tv)
– Manne mun galggan     geassádit     , go earát eai dárbbaš . #0 (refl)
– In     geassát     vaikko mo de livččii . #0 (refl)
SáB jođiheaddji gáibida Solbjørg Ravna     geassáda     ovttasbargolávdegottis NSR ovddasteaddjin , dahje ahte jávká SáB stivras dan_botta_go čohkká lávdegottis . #SO-Loc+RO-Ess (refl)
– In     geassát     . #0 (refl)
Jus die lea áidna ágga , de in vissa     geassát     gal , lohká son . #0 (refl)
Ravna ii jáhke dás leat makkárge politihkalaš ákkat manne son berre     geassádit     . #0 (refl)
– Nu guhkká go mus dasa lea jahkku , de in     geassát     ovttasbargolávdegottis dahje stivrras . #SO-Loc (refl)
Jus čájehuvvo ahte ii leat vejolaš oba ovttasbargatge , de     geassádan     . #0 (refl)
Lea eaktodáhtolaš oassálastit prošeaktabarggus ja lea vejolaš     geassádit     prošeavttas goas fal beare hálidat . #SO-Loc (refl)
Ja lagamusat gáibidit beare ollu dus dál , ja don     geassádat     eret . #eret (refl)
Dan áigges aŋkke     geassádii     Eanandoalldepartemeanta eret bággodoaimmain , go boazodoallu gillái stuorravahgáiid boranávddiid ja heajos guohtumiid dihte . #eret+SO-Loc (refl)
Dás áitet     geassádit     oalát SáB:as , jus gulahallan ii buorrán . #SO-Loc (refl)
Guovdageainnu SáB čujuha maŋemus áiggi mediačállosiidda , gos SáB jođiheaddji doarju SáB sámediggeáirasa Terje Tretnes     geassádit     Sámedikki eanetlogu joavkkus , Johanne gaup duppalrolla geažil . #SO-Loc (refl)
– Mii eat sáhte váldit ovddasvástadusa ahte Sámedikki eanetlogujoavku oktan presdeantattain sáhttá massit eanetlogu jus SáB     geassáda     ovttasbarggus . #SO-Loc (refl)
– Dál berrešii     geassádit     dahje čorgegoahtit . #0 (refl)
Muđui eat oainne eará ráđi go     geassádit     . #0 (refl)
Soabmasat áitet     geassádit     jus plánat eai orustahtto . #0 (refl)
II LEAT GULLÁN : Kjell Østmo ii lean mánnodaga gullán ahte boazodoallit leat     geassádeamin     ovttasbarggus . #SO-Loc (refl)
Østmo šálloša jus kuršaeaiggádat     geassádit     eret sin skuvllas , go sis lea dáhttu ja miella dan čađahit . #SO-Loc+eret (refl)
– Mis lea leamaš buorre gulahallan ja lea hui suddu go     geassádit     eret . #eret (refl)
BOAZODOALLIT GUĐĐET : Oktasašguohtun 17/18/17 ovdaolmmoš Amund P. Anti ii oainne eará ráđi go     geassádit     , go Kárášjoga joatkkaskuvla ii sealgga oažžut johtui bohccobiergokurša badjeolbmuide . #0 (refl)
    Geassádit     Kárášjoga joatkkaskuvllas #SO-Loc (refl)
Dál     geassádit     Kárášjoga boazodoallit eret ja sirdet oahpu Guovdageidnui . #eret (refl)
Danne eat oainne šat eará ráđi go     geassádit     ovttasbarggus . #SO-Loc (refl)
Eat oainne eará vejolašvuođa go     geassádit     eret ovttasbarggus ja oččodot kurša Guovdageidnui . #eret+SO-Loc (refl)
– Ferte muitit manin stáhta dál ferte     geassádišgoahtit     eret Finnmárkkus . #eret+SO-Loc (refl)
DOARJU SPONHEIM : Finnmárkku Gurut fylkkajođiheaddji Veral lysklætt ii leat ovtta oaivilis Anton Dahlain ahte Lars Sponheim galgá     geassádit     Gurit bellodaga jođiheaddjin . #RO-Ess (refl)
Anton dáhttu     geassádit      #0 (refl)
Ođđasiin ahte eanandoalloministar Lars Sponheim berre     geassádit     Gurut jođiheaddjin . #RO-Ess (refl)
Gurut fylkkajođiheaddji Vera Lysklætt ii doarjja gal Anton Dahl     geassádan     oainnu . #attr
Bealistan jáhkán ahte Sponheim dajai dieid sániid garra deattu vuolde , go máŋggat fylkajođiheaddjit ledje dáhtton su     geassádit     ja departemeantas deddet boazologu unnidemiin , bealušta Lysklætt . #0 (refl)
– In     geassát      #0 (refl)
Johanne Gaup ii vuollán     geassádit     Bargiidbellodaga ovttasbarggus iige ráđi politihkalašráđđeaddin . #SO-Loc (refl)
– Mun lean eddon ja mu dihte gal oaččošii Nils Gaup     geassádit     SáB jođiheaddjin . #RO-Ess (refl)
Dáhttu Johanne     geassádit      #0 (refl)
Jođiheaddji Nils A. Gaup ovddidii mannan vahkkus áitaga ahte SáB     geassáda     Sámedikki eanetlogujoavkkus jus Johanne Gaup ii botke ovttasbarggu Kjell Sætheriin . #SO-Loc (refl)
Dát mudden boahtá maŋŋil go leat leamaš siskabealde SáB gulahallamat go luite álmmolaččat dieđu ahte bellodat áigu     geassádit     ovttasbargat Sámedikkis NSR:ain , " Puma-bellodagain " ja Guovddašbellodagain . #SO-Inf (refl)
Ammat du preassadieđáhusas čuočču juo bajilčállagis " Sámeálbmot Bellodat     geassáda     ovttasbarggus Sámedikkis " ? #SO-Loc (refl)
) ja jos Gaup ii dassažii leat álmmolaččat váljjen , de     geassáda     SáB Sámedikki eanetlogus . #SO-Loc (refl)
Muhto ii leat sáhka     geassádit     ovttasbarggus , geardduha Gaup . #SO-Loc (refl)
Maiddái Terje Tretnes ii leat duhtavaš SáB guovddáš jođiheaddji     geassádan     áitagiiguin . #attr
Ii lean goasse sáhka     geassádit     ovttasbarggus , muhto váttisvuohta mii munje šaddá go Johanne lea SáB bealde Sámedikkis ja gielddastivrras ges SáB nuppe bealde , lohká Tretnes . #SO-Loc (refl)
Tretnes doarju olislaččat Álttá - ja Guovdageainnu SáB jođiheaddjiid ahte     geassádan     áita lei áibbas boastut . #attr
GEASSÁDAN : Dina Maurstad     geassádii     Kárášjoga Veahkeguovddaža O // S stivrrajođiheaddjin siskkaldas moivviid geažil . #RO-Ess (refl)
Stivra jođiheaddji     geassádan     moivvi dihte #RO-Ess (refl)
Dina Maurstad     geassádii     stivrajođiheaddjin Veahkeguovddažis moivi geažil . #RO-Ess (refl)
    Geassádii     stivrajođiheaddjin #RO-Ess (refl)
Danne     geassádin     stivrajođiheaddjin , muhto lean joatkán Hagelag stivraláhttun , lohká Maurstad . #RO-Ess (refl)
Dan dadjá Aslak J. Eira , gii ii loga ovdaolbmuid moaitagiid geažil veardidan     geassádit     jođihanvirggis . #SO-Loc (refl)
Eambbosat ahte eambbosat addet     geassádišgoahtin     signálaid petroleumdoaimma dihte Lofotenis . #0 (refl)
Goalmmát olmmái gii lei mielde álggaheamis dán ,     geassádii     oalle johtilit . #0 (refl)
Muhto soai geat oaččuiga lobi álggahit ,     geassádeigga     . #0 (refl)
Sámeradio berre     geassádit     NRK-systemas #SO-Loc (refl)
Digaštallan mii lea leamaš Sameradio ja NRK gaskka sámegiel sáddagiid hárrái Dagsrevyas , ii livčče dárbbašlaš , jus Sameradio     geassádivččii     eret NRK-systemas . #eret+SO-Loc (refl)
Daláš njunušolbmot     geassádedje     bellodagas , ja vuostálaste garrasit Finnmárkku Sosiálisttalaš bellodaga sámepolitihka . #SO-Loc (refl)
Mannan vahkus ávččuhii Olgeža fylkkasátnejođiheaddji evttohas Birger Westlund juridihkkaprofessora Kirsti Strøm Bulla     geassádii     Sámevuoigatvuođalávdegottis . #SO-Loc (refl)
Westlund lea cealkán ahte Strøm Bull berre     geassádit     Sámi_vuoigatvuođalávdegottis dan sivas go son lea buktán garra moaitámušaid finnmárkkulága hárrái . #SO-Loc (refl)
    Geassáda     Nordlys jođiheaddjin #RO-Ess (refl)
Válaštallan searvvi Nordlys jođiheaddji Klemet Turi Kárášjogas     geassáda     beaivválaš jođiheaddjin searvvis . #RO-Ess (refl)
Eambbosat ahte eambbosat addet     geassádišgoahtin     signálaid petroleumdoaimma dihte Lofotenis . #attr
Soapmasat áitet     geassádit     jus plánaid eai orustahte . #0 (refl)
Dál     geassáda     Gustavsen Sámi Girječálliid Searvvi čállidoaimmas fuomašahttit ahte dáiddarat eai eale ruđaid haga . #SO-Loc (refl)
    Geassáda     ovttasbarggus #SO-Loc (refl)
Sivas heajos Ekonomalaš ruhtajuolludemiid dihte áigu Barents guovllu eamiálbmogiid bargojoavku árvvoštallat     geassádit     ovttasbarggus . #SO-Loc (refl)
Go duohtavuohta lea ahte lea politihkkagaskasáš ovttaoaivilvuohta Stuorabrittanias das ahte ovttas geahččalit     geassádit     iežaset eret EU guolástanpolitihkas . #eret+SO-Loc (refl-anal)
Norgga asylaohcciid orgánisašuvnna NOAS jođiheaddji Rolf Berglund Steen dadjá NRK_Sámi Radioi ahte Hætta berre     geassádit     Sámedikkis , go oaivvilda sámediggeáirasa ovddidan rasistalaš cealkámušaid . #SO-Loc (refl)
Sihtá Mikkel A. Gaup     geassádit      #0 (refl)
Okta Ášu aviissa eaiggádiin , Norgga_Boazosápmelaččaid_Riikkasearvi ( NBR ) , sihtá Ášu váldodoaimmaheaddji     geassádit     barggus . #SO-Loc (refl)
Danin in leat jurddašan     geassádit     jođiheaddjin . #RO-Ess (refl)
Sámi fibmafestivála jođiheaddji Anne Lajla Utsi duođašta ahte sii áigo     geassádit     " Villmarkssenter " báikkis orrumis , go eaiggát ja sámepolitihkar Issán ( Isak Mathis O. Hætta ) lea ovddidan cealkámušaid máid olluhat leat dulkon rasistalažžan . #SO-Loc (refl)
