[lemma = "galgat"][msd = ".*Ill.*"]
Boađus: 1 160
Ovddit1
2
Čuovvovaš
Cealkkačájeheapmi
	Administrative texts –
Eahkes 	galgá mánáide 	čájehuvvot filbma kinos ja buot galgá gárvvis dassažii go « Shrek » galgá guoimmuhit mánáid kinos .
Davvi Girjji As doaimmaheaddji , Marit Alette Utsti , dainna guvttiin sátnegirjjiin , « Sámi-dáru sátnegirji » ja « Norsk-samisk ordbok » , mat 	galget internehttii 	bidjot nuvttá geavaheapmái .
Dat lea ođas ja 	galggašii loktii 	!
Ođđa bargoneavvut 	galget journalisttaide 	ja typográfaide váldot atnui .
Ođđa bargoneavvut 	galget journalisttaide 	ja typográfaide váldot atnui .
- Dát ruđat livčče galgan čatnot Duodjeinstituhttii ja leat min ohcamiid vuođul juolludan dán ja bidjan dan ruđa bušehttii ja lea váidalahtti go eai rásken dadjat ahte dat 	galgá Duodjeinstituhttii 	, oaivvilda Inga Hermansen Hætta .
rávisolbmot geain lea dárbu duođaštit iežaset fidnogelbbolašvuođa go 	galget skuvlii 	dahje bargui Hálidat go eambbo dieđuid ?
Doppe lei čoahkkin 1.12. 2007 masa oassálaste AWG-bargojoavku ja fuolaheaddjit geat 	galget AWG-gilvvuide 	.
Sámedikki olis leat biddjojuvvon johtui oahpponeavvoprošeavttat mat gusket Máhttolokten - Sápmái 2006 , ja muhtin ráje prošeavttat mat ledje álggahuvvon ovdal dan , 	galget dasa 	lassin heivehuvvot Máhttolokten - Sápmái .
Dan beaivvi go Kristoffer čuovui mu , de oaččuimet dakkár báberčoakkáldaga mas ledje 128 siiddu ja mis lei diibmu ovdal go 	galggaimet čoahkkimii 	departemeanttaiguin .
Nu 	galgá juohkehažžii 	leat juoga máid sáhttá vásihit .
- Mu oainnu mielde galggašii Sámediggi dál vuoruhit dan 6,5 miljovnnas ruđa ásahit lávdegotti , mas lea mielde maid Goahtegearret , Sámi Bidvo- ja meahcástansearvi ja Bivdu , mii bargá ja hábme makkar ealáhusšiehatdus 	galggašii lotnolasealáhusaide 	main lea oassi meahcásteapmi , oaivvilda Henriksen .
Sámediggi dál vuoruhit dan 6,5 miljovnnas ruđa ásahit lávdegotti , mas lea mielde maid Goahtegearret , Sámi Bidvo- ja meahcástansearvi ja Bivdu , mii bargá ja hábme makkar ealáhusšiehatdus 	galggašii lotnolasealáhusaide 	main lea oassi meahcásteapmi , oaivvilda Henriksen .
- Nubbi ii 	galgga nuppi 	sadjái boahtit , deattuha Skum .
Muhto mu mielas lei Egil Olli 	galgat midjiide 	juohkit dákkáraš dehálaš dieđuid go rabasvuohta lea dehálaš juksat politihkkálaš áddejumi ja ovttaoaivvilvuođa .
Oainnán maid ahte dutkit oaivvildeaba ahte dárogiel distrikt 	galggašii sámegillii 	daddjot distrikta , muhto go orohat lea adnon 1978 rájes ja lea bures sajáiduvvan , de in oainne ulbmila dan rievdadit .
	An Account of the Sami
Ja dainna lágiin leat ferten dutkat nu olu , ahte leat ožžon sealvvi , got lea vihkešlájat , ja got 	galgá daidda 	ábu oažžut .
Hupmat maiddá 	galgá savkosii 	, vái gula eai maidege .
	Science texts –
) de 	galgá gáhkkui 	] E
( 258 ) mánát 	galget duosa 	čohkkedit ( 2;10.25 ( B ) )
Sii galggašedje bissut ovddežis eaige 	galggašii oarjemáilbmái 	rohtašuvvat .
Die nu 	galggat juohkehažžii 	vástidit , movttiidii Heandarat
) de 	galgá gáhkkui 	] E
( 258 ) mánát 	galget duosa 	čohkkedit ( 2;10.25 ( B ) )
Dat galgá dovdat geainnuid , vaikke ii leat vánddardan dakko , justa dakko , muhto galgá áigá dovdat gokko heive vuodjit , mohkastit ja oahppat diehtit ahte ii 	galgga jieŋaide 	mannat , ja dat lea ollu maid galgá vuohččan oahppat .
Borddi dettiin de muittuhit guhtet guoibmáseamet maid dárbbašit váldit mielde go vuolgit olggos , ja coggat niibeboahkána ja čuoikavuoidasa sehkkii ja dárkkistit leat go muitán eará seahkaide coggat dan maid 	galgat fatnasiidda 	loktet .
Semánttalaš gilkora mii muitala maid oahppi lea vástidan vai dihtora čuovvovaš jearaldat dahje kommentára heive oahppi vástádussii ( &diahivsset danne go oahppi lea vástidan ahte TV 	galgá hivssegii 	) .
Go lea oktanaga oahpahallamin guokte giela ( sámi oahp pit 	galget dasa 	lassin jo vuosttas skuvlajagis stoahkama vuođul oahppagoahtit eŋgelasgiela ) , de dakkár oahpahus ferte duddjot guovttegielatvuođa diđolašvuođa .
