Danin báhce sápmelaččat dávjá 	čohkkát 	iežaset guollehivvodagain
Leaikkastalai mánáin , gohčodii su ádjá idjaskuolfin ja boagustii njálgát , bálkestii áibmui ja luoitilii fas čippi ala 	čohkkát 	.
Lei suohtas 	čohkkát 	liegga viesus ja dovdat ahte lei buresboahtán .
Ja go ii lean mátkkiid alde , de váccašii beaivválaččat geaidnobargguid ovdáneami čuovvumin , háleštii meaštáriiguin , 	čohkkái 	muhtumin eahketbottaid bargiid baráhkain áiggi golaheamen .
Das 	čohkkái 	ja čuovui , go eamit rasildii stobus ja árvalii ain muhtun sáni iige doapman gámmárii velohallat , vaikko lei miella .
Nillá 	čohkkái 	boardaga alde ja smiehtai .
Dahje dušše 	čohkkášii 	káffegohppa njuni ovddas ja háleštivččii olbmuiguin .
Ivvár 	čohkkái 	mealis ja geahčadii vuogas sáibmasajiid , Heaika sugai ja smiehtai .
Heaika 	čohkkái 	moanaid diimmuid Máhte-Máhte geahčen .
Ii lean eará go 	čohkkát 	ja vuordit ahte eamit ja nieida buvttiiga biepmu njuni ovdii .
Muhto son lei dušše 	čohkkán 	ja guldalan earáid .
Son jierásmuvai vuos álggos , dasto ráfui ja 	čohkkái 	jegolaččat nissona bálddas ja geahččalii muitalit sutnje buot , maid nubbi háliidii diehtit .
Go ii lean dáluin dieđuid čohkkemin , de 	čohkkái 	idjabottaid beavdeguoras ja čálii .
- Antero gal bargoolmmoš ii astta dieidda joavdelas čoahkkimastimiidda , dáluisida báiki ii leat čoahkkimiin 	čohkkát 	muhto jurddašit dálu ávkki , eattehii Birgget .
Áššit ledje dál mannan nu guhkás ahte son ii sáhttán šat 	čohkkát 	roahkkálas gieđaid ja dušše vuordit mii dáhpáhuvašii , muhto fertii ieš doaibmagoahtit .
Maŋážassii ii šat veadján 	čohkkát 	juovlabeavddis ja šloahtalii jienajávohaga seŋgii .
Máhte-Máhtte boltasii bajás ja gággasii seaŋgaravdii 	čohkkát 	.
Son vilppastii máŋgii káffegievnni guvlui ja dasto Ivvárii , muhto dát ii dahkan ii oaidninge , dušše 	čohkkái 	beavdegeažis jienajávohaga .
Dasa lassin gávdnojedje vel smávit vigit , dego hoteallasále lei unohasat lágiduvvon , stuolut eai deavdán dálá 	čohkkánnorpmaid 	iige divraseamos lanjainge lean televišuvdna .
Birgget láidii guoimmis sukkástuolu ala 	čohkkát 	ja govččai dasa .
Son 	čohkkái 	boardaga alde ja čuovui , go eamit barggildii šiljus .
Ovdamearkka dihte geassit sáhtii 	čohkkát 	giedderavddas máŋggaid diimmuid , go čuovui mo olbmot dopme ládjobargguin .
Dákkár beivviid son jođii erenoamáš viššalit gili dáluin , 	čohkkái 	ja guldalii maid olbmot hálle .
Son 	čohkkái 	beavdeguoras peanna gieđas ja smiehtai maid merkešii bajás vássán beaivvis .
Heaika 	čohkkái 	okto stobus .
Ánde 	čohkkái 	lássaguoras ja guovllai Heaikka vistti guvlui .
Ánde 	čohkkái 	ja guldalii maid gii lei oaidnán ja gullan ja muitalii vehá iežasge birra , logai ahte orui dál veadjimin áđabut ja ammal dat bođii das ahte lei juo hárjánan .
Nu de lávejin dolkat 	čohkkát 	eadnán bálddas .
Sire-guovttos čuoččasteigga uksanjálbmái geahččat dáluisida hárjehallama , eamit 	čohkkái 	beavdegeažis boares govvabláđđi gieđas .
Áigebotta 	čohkkáime 	das .
Gutnel 	čohkkái 	okto muhtun beavddis guoros káffegohpa gieđas , Lemet ii dihtton gostige .
Erenoamáš dávjá 	čohkkái 	Heaikka ja Nillá geahčen áiggi golaheamen .
Go bánnogáhkku lea válmmas , bálkesta son dan vuos áibmui , ja de Tommii ja Annikai , geat 	čohkkádeaba 	muorragássa alde ja borraba nu ollu go nagodeaba .
Ii oktage sáhte sutnje dadjat ahte son ferte 	čohkkát 	albmaláhkái .
Áviisa čállá stuorsáhpán lei gáskkistan aitto giehtagávvii gokko varravárri lea njuolganaga 	čohkkái 	.
Áddjá 	čohkká 	gievkkanbeavddi guoras .
Muhto oidnen ahte son dušše 	čohkkái 	ja geahčai joga guvlui .
Son 	čohkkái 	áibbas lihkaskeahttá , muhto go ledjen máŋggaid minuhtaid gaiván su lássaráigge , de son jorggihii ja geahčastii munnje - ja moddjii .
Son movttáskii muitalit iežas mánnávuođas ; son lei leamaš áhčiinis dimbariid vuodjimin guovttenuppelotjahkásažžan , dimbariid golgadeamis mielde vehá boarráseabbon ja lei fitnan soahtebálvalusa áigge gitta Turkus ; son njuorai binnánaš go muittašii buot dien ja movttáskii lávlutge , nu ahte oaččuime 	čohkkát 	badjel guokte diimmu sávnnis , eará son ii muitalan , iige sánige das , maid lei šaddan muosáhit dan maŋŋá , go soahti lei buollán .
Son lei áibbas guttaheapme nissoniid ektui ja livččii ovdal joatkán mátkki go bisánan , muhto seamma biillas 	čohkkái 	su buoremus skihpár , guhte lei eret seamma gávpogis ja dovddai su ja láhttestii danin : Na de Hans , dat lea du vuorru vuosttasin !
Son ii cahkkehan čuovgga , muhto 	čohkkái 	beallesevdnjes lanjas stuorra liidni hárduid alde ja oaivvi birra giesastuvvon - ii lean čoaskkis , muhto son vabaidii : boaresvuođa doaŋgudan suorpmat doarggistedje , go ain bajidii gohpa baksamiidda .
Son 	čohkkái 	ainge jienajávohaga sajistis ja guldalii : vilppastii lássaráigge olggos ja oinnii ahte oppa johka lei vilges mierkká siste ja gátti sieđggat ja látnjasat geaigájedje dego assás bummola siste , mii lei dássidit lebbejuvvon juohke sadjái ; čavččaboahtimii ráhkkanaddi gieddái , buđetbealddu muldii , mas buđehat ledje gieskat gaikojuvvon ja geđggiide ja jokŋadakŋasiidda , mat vurde muohttaga .
Daid dedde ártegis váibasat , nu ahte son jurdilii 	čohkkát 	sukkástuolus iige šat oppa viggange čuoččat .
Ruusumaa-Altti 	čohkkái 	boardaga alde ja ruvvii iežas juolggi , man lei bávččagahttán , go doalvvui Hilma seaŋgga láhtui .
Ja go Marja ainge 	čohkkái 	beavdegeažis káffegohppa njuni ovddas , de son vel lasihasttii : Basahin daid Keskitaipale-Ailii duo muhtun ...
Ruusumaa-Altti 	čohkkái 	idjabottaid dollagáttis , go ii sáhttán oađđit bávččas juolgenaltta dihte .
Son 	čohkkái 	juolgelahkki máhccut bađa vuolde , ullosuohkku gieđas ja lávllui huiggirdii lahkosiin johtaleaddji nissoniidda : addet dal !
Dat ledje gassadat ja buggái , ja ovtta beahcemáddagis 	čohkkái 	ruoŧŧelaš fáktasoalddát idjabotta ja borgguhii oppa áigge , go vurddii iđida .
Son 	čohkkái 	beahcemáddagis givvir čippiid gaskkas ja vuorddašii iđida ja dan ahte šearádahtášii , vai beassá fitnat geahččamin suomanieiddaid go dát bohtet ráji rastá ; dan maŋŋá son lei jurddašan mannat Holminga stohpui nohkkat .
Marja 	čohkkái 	lihkaskeahttá ovtta sajis .
Sii ledje 	čohkkán 	idjabotta guorbmebiillaid lávddiid alde nubbi nuppis gitta , bivttasgiesaldagat ja seahkat oaivvuložin dahje bađa vuolde .
Suvddár Soldatkin , guhte lei 	čohkkán 	Marja bálddas , manai dasto Krooka-Riika lusa ja cavgilii dán gáktesoajás .
Lampi-Alina , guhte 	čohkkái 	sudno bálddas , skállalahtii bálkestii bastte beavddi ala ja garihii : Na nu leage !
Riika guđajahkásaš nieida Ulla 	čohkkái 	eatnis bálddas ja geahčai alit čalmmiidisguin njuolgga suvddára dan bealljái , mii ii lean šat .
Sii ledje 	čohkkán 	moanaid beivviid togas , mii gulul njoamui davásguvlui ja ledje vuordán ja heađástuddan : makkárson doppe dál lea ?
Son állestii vuot lása ja láhttestii juoidá vivainis , guhte 	čohkkái 	dan seamma beavddis .
Muhto dát bázii 	čohkkát 	ja gávkkai viskilása gierragii , mas dávistedje beaivesuotnjarat su buollánviinni juhkamis šlieddan čalmmiide .
Dan son jurddašii , go 	čohkkái 	viskilássa gieđas .
Son čáŋai korsui , nahkehii reivve ránsellubmii ja 	čohkkái 	jienajávohaga guovdu muoldaláhtti , mas haksui guohpa ja givvirolju .
Muhto go son dál 	čohkkái 	restoráŋŋasáles lásas viskigoaikkanas ja nuppe bealde beavddi guoros stuollu , mas vivva lei ovdalaš čohkkán , de son áddii ahte ii jearaldat oppa leange dalle dušše das , mo Eila birgešii ja mo mánát šadde fárret dohko dan nuppi máilbmái , muhto dan balus mii cagai suge siste .
Muhto go son dál čohkkái restoráŋŋasáles lásas viskigoaikkanas ja nuppe bealde beavddi guoros stuollu , mas vivva lei ovdalaš 	čohkkán 	, de son áddii ahte ii jearaldat oppa leange dalle dušše das , mo Eila birgešii ja mo mánát šadde fárret dohko dan nuppi máilbmái , muhto dan balus mii cagai suge siste .
Dál son duosttai juo dan dovddastit alccesis , muhto dalle go korsu čiegas 	čohkkán 	Lompolo-vieljažat leigga jabbán sutnje ja Ruusumaa lei čohkkán jaska , de son ii lean jienádan ii maidige ja buohkat ledje várra jurddašan ahte die čohkkái almmái , gean moraš lei garra gieđain rissestan .
Dál son duosttai juo dan dovddastit alccesis , muhto dalle go korsu čiegas čohkkán Lompolo-vieljažat leigga jabbán sutnje ja Ruusumaa lei 	čohkkán 	jaska , de son ii lean jienádan ii maidige ja buohkat ledje várra jurddašan ahte die čohkkái almmái , gean moraš lei garra gieđain rissestan .
Dál son duosttai juo dan dovddastit alccesis , muhto dalle go korsu čiegas čohkkán Lompolo-vieljažat leigga jabbán sutnje ja Ruusumaa lei čohkkán jaska , de son ii lean jienádan ii maidige ja buohkat ledje várra jurddašan ahte die 	čohkkái 	almmái , gean moraš lei garra gieđain rissestan .
Son ozai girkoeatnama čiegas dan báikki , gokko su mánáguovttos Raili ja Matti leigga hávdáduvvon ja 	čohkkái 	ja čierui eatnamis .
Aili čuoččui sidjiide selggiid speadjala ovddas ja buntegođii vuovttaidis , dasto jorggihii sin guvlui ja fuobmái Mäkiniska , guhte 	čohkkái 	su seaŋggas .
Mäkiniska 	čohkkái 	njahkut seaŋgaravddas ja doaladii čoavjji : gorut , mii ii lean ožžon biepmu , lei nu bávččas ja čoalit ledje liibmašuvvan oktii .
Nissona steanže čoarbbealit doarggistedje - son čierui ain káfe vuoššadettiinge ja hálai seađas jienain Mäkiniskain , guhte 	čohkkái 	seaŋgaravddas ja lei nu vártnuheapme oaidnit .
Son 	čohkkái 	goapmirat čippiid alde iežas bartta šiljus sinuid siste , mat ledje šaddalan johtilit guhkkodaga , ja geahčadii nieidda ja gándda nárrohallama .
Son 	čohkkái 	lihkaskeahttá - dušše suorpmat , mat čárvvodedje čippi , lihkadedje .
Son suoskkai suhtus láibbi , ja go bihttá ii dalán luovvanan , de ravggui dan bániidisguin ja vilššádii ilgadit duoggevuovttat máná guvlui , guhte 	čohkkái 	beavdegeahčen gieđat gaigŋiriid ráje lupmain .
Ruusumaa 	čohkkái 	boardaga alde ránsel gieđas .
Go Ruusumaa lei vuolgán , de Herkko 	čohkkái 	boardaga alde láibbit gieđas ja beljohalai , gulluigo Eila badjin lihkadeamen .
Son 	čohkkái 	oanehassii jaska ja dárkui eamidis , guhte sihkodii báidesoajáin siepmana , mii golggai su juolgemáddagiid mielde .
Son 	čohkkái 	Eila seaŋgaravddas ja dajai : De galggat de vuoiŋŋastit albmaláhkai !
Fiinna dálki dál , árvalii Aili ja seavestii nieidda iežaska lusa 	čohkkát 	.
Go earát juo juhke káfe , de Marja čuožžilii seaŋgaravddas mas lei 	čohkkán 	, šloađai skáhpe lusa ja leikestasttii káfe gohppasis .
Ruovttoluotta máhcadettiin mii 	čohkkáimet 	álás fatnasis ja mun suhken lossa fatnasa vuosterávdnjái .
Son 	čohkkái 	mojunjálmmiid ja iešsihkkarin restoráŋŋabeavddis vuollaboahtal njuni ovddas : su juohke sánis ja láhtas vuhttui sihkkarvuohta ja mielaráfi .
Son seavestii mu iežas beavdái , nu sihkkarit ja lunddolaččat ahte mannen duođaidge 	čohkkát 	seamma beavdái inge oppa jurdilange dađe eanet .
Sus lei badjelis čohkkes jáhkka , muhto 	čohkkái 	goittotge stuolustis lunddolaččat iige lean jámma gavvimin soadjágežiid .
Lohken dan báikki , gokko ledjen čállán Soldatkinis ; das mo su beallji časkojuvvui eret ja nuppe sajis Krooka-Ullas , guhte 	čohkkái 	muinna girkoeatnama ravddas go Mäkiniska mánáguovttos jávistuvvuiga čáhppes muoldda sisa , ja Mäkiniskas guhte gillá lossamielalašvuođas .
In leat okto , in oppa gáttege nu : manan ain muhtumin maŋŋiteahket restoráŋŋii ja 	čohkkán 	doppe juoga sipirjálaččain , jugan vuola dahje viski , háleštan suinna ja guldalan dárkilit maid son dadjá : buot váilevaš sánit čatnet mu sutnje .
Seaŋgga stobubeale ravda lei gollan áibbas livttisin : Väkkäräinen lei 	čohkkán 	das ja jurddašan mielahis daguidis .
Skuvllas leimme seamma luohkás ja son 	čohkkái 	mu ovddabealde čuvgesfiskes bárggáldagat dasttán mu suorbmagežiin .
« Ja áhkku dal beare veahtun , » loassi geardduha – « divššu dárbbaša go lea juolggehuvvan ollonaga , átŋadehkiide ožžon , ii son sáhte láŋggaid šat dávgut , 	čohkkáda 	dugo čáihni — mii vehkiid dakkáriin .
Gohčui Rita 	čohkkát 	danne dan botta go son dušše fitnala hivssegis ja olgun ; son dárbbaša áimmu .
Busses 	čohkká 	dego don
Busses 	čohkká 	dego don
	Law texts –
Jus áššálaš lea ovdal dubmejuvvon ráŋggáštussii dán lága vuođul , dahje jus leat eará čavgejeaddji dilit , de son sáhttá dubmehallat giddagassii 	čohkkát 	gitta 6 mánu rádjai sierranas duopmun dahje oktan sáhkuin .
dohkálaččamusat 	čohkkát 	komišuvnnas ja meahcce
Son gii eaktodáhtolaččat dahje váruhemet rihkku dán lága mearrádusaid dahje dán lága vuođul addojuvvon mearrádusaid dahje dasa váikkuha , sáhkohallá dahje dubmehallá giddagassii 	čohkkát 	gitta 6 mánnui jus rihkkun ii deaivvahala garrasat ráŋggáštusmearrádussii .
Jus leat erenoamáš čavgejeaddji dilit , de sáhttá dubmehallat giddagassii 	čohkkát 	gitta 2 jahkái .
Go giige rihkku mearrádusa mii lea addojuvvon § 7 nuppi lađđasa vuođul , de sáhttá sáhkohallat dahje dubmehallat giddagassii 	čohkkát 	gitta 6 mánnui , dahje gitta 2 jahkái jus leat erenoamáš čavgejeaddji dilit , jus mearrádusas jo ii čuččoš ahte ii ráŋggáštuvvo giddagassii .
	Min Aigi –
Son 	čohkká 	jaskadit .
Son 	čohkká 	jaskadit gievkkanbeavde guoras iežas ruovttus , mii dál lea dušše su .
Meza 	čohkká 	dán áigge butkkás , son lea dubmehallan 30 jagi giddagassii go lea doaimmahan ilgadis láhkarihkkumiid dan 13 mánotbajis , go su rešima bisttii 1980-81 .
Mii leat máŋgii 	čohkkán 	dáppe barggus ja geahčadan áviissaid ja spivken .
Nordnytt-sáddagis miessemánu 28. beaivve Ballo logai , ahte SG lei dan Sámi vuoigatvuođalávdegotti evttohusa vuostá , ahte Sámediggi oažžu hilgunvuoigatvuođa ( veto ) , go dát livččii olgguštit Stuoradikki , Su bálddas 	čohkkái 	bellodathoavda Kristin Halvorsen , gii orui leame ovtta oaivilis Balloin .
Guhkes dálvvi lean juo 	čohkkán 	siste .
Kursaoahppit eai galgga eisege dušše skuvlabeaŋkkas 	čohkkát 	.
– Hirpmástuhtti lea ahte Norgga eiseválddit sáhttet Oslos 	čohkkát 	ja mearridit geat besset vuolgit sápmelaččaid guossái , Bruce Greaves imašta .
Svonni ja Utsi dieđiheaba ahte Sámedikki stivra ja politihkalaš jođihangoddi 	čohkká 	olles áigodaga , olles njeallje jagi .
Ja manne dalle galggašin 	čohkkát 	báikkis gos dovddan iežan dájuhuvvon ?
Dasto lea álggu rájes leamaš dakkár oaidnu ahte jođiheaddji ii galgga 	čohkkát 	menddo guhká .
Mearkalávdegottis lea 	čohkkán 	guokte áigodaga , oktiibuot njeallje jagi .
– In veajašii 	čohkkát 	taksis juohke beaivve Gáregasnjárgii ja fas ruoktot , lohká Minna Heikurainen ( 9 ) , olgešbealde .
– In veajašii 	čohkkát 	taksis juohke beaivve Gáregasnjárgii ja fas ruoktot , muhto doppe gal dieđusge leat eambbo skihpárat , muitala Minna .


    Davvisámi teavsttat Julevsámi teavsttat Lullisámi teavsttat Anársámi teavsttat Nuortalaš teavsttat Fler 

0
 

    Davvisámi|Norsk|Suomeksi|English

Čujuhit Korpii
10 válljejuvvon čoakkáldaga (buot) — 21,11M/21,11M sáni

    Oktageardán ohcan
    Viiddiduvvon ohcan
    CQP ohcan
    Buohtastahttin

Dálá oktageardánis ohcan CQP:n:

[word = "" %c]

Dálá viiddiduvvon ohcan CQP:n:

[]

Dievaslaš CQP-ohcan:
Viečča CQP-čilgehusaid
KWIC:

    KWIC
    Statistihkka

Boađus: 3 087
									
Ovddit
1
2
3
4
Čuovvovaš
Cealkkačájeheapmi
	Min Aigi –
Ieš lea 	čohkkán 	giddagasas mánu go dubmehalai goddán geatkki .
Muhtumat dadjet , ahte manin mánáid bidjat juohke skuvlabeaivve 	čohkkát 	( skuvlabiilii ) moatti diibmui , vaikke eai leat maidige baháid bargan .
– Eai leat šat nu viššalat suhkat , eaige 	čohkkát 	fatnasis , iige dán áigásaš olmmoš višage šat guhkes áiggiid leat joga alde , muitala Otto Paltto .
Lea ollu suohtasat bargat go skuvlla vázzit gos ferte 	čohkkát 	ja guldalit maid oahpaheaddji dadjá , Alf Henry jienáda .
Su rehálašvuođa dovdu dagai ahte son ii sáhttán 	čohkkát 	ja geahččat ahte unnitálbmoga vuoigatvuođat badjelgehččojuvvojit dan dihte go sis eai leat leamaš návccat ja ruhta doaimmahit dutkamiid .
Guhki šaddá áigi akto 	čohkkát 	, go dáppe ii oidno ii garjáge .
Mexico gávpoga ođđa ságadoalli Cuahutemoc Cárdenas lea 	čohkkán 	ovcci mánu .
Lei suohtas beare 	čohkkát 	ja geahččat sin .
Gálvvuid maid sii leat vurken ii duostta vuovdit go dalle báhcet sii 	čohkkát 	ruđain man árvu hedjona minuvttas nubbái .
, nu ahte hárdu ii galgga goallut go siste 	čohkká 	ja lea dolla buollimin .
Vaikko geasseluopmi ii leat velá nohkan de 	čohkká 	áhkku - Katarina Molnarova - skuvlašiljus .
– Das oaidná go jierbme olbmot sáhttet 	čohkkánit 	ja divvut historjjálaš boastuvuođaid .
57 jahkásaš Annbjørg Storbakk 	čohkká 	ruovttus viesustis , Tromssas , ja einnosta telefuvnnas .
Ráissás ii dáidde ovttatmanus beassat A-jovkui , soaitá fertet ollu gierdat šilju guoras 	čohkkát 	.
Lávvardaga čoahkkimis Áslat Niittyvuopio lei Ilmár Tapiola várrelahttun Suoma juhkosis , muhto ii 	čohkkán 	doppe mange searvvi ovddasteaddjin .
Son maid lea diimma rádjai 	čohkkán 	čieža jagi sámigiellarađi stivrrajodiheadjin .
Maŋimuš áiggiid dieđihangaskaoamit leat láitán Sámiráđi Suoma juhkosa go dat 	čohkká 	Sámirádis , ja Min Áigi dadjá juhkosa juobe dološ bázahussan ja dat lea earenoamážit háliidan láhčit Suoma sápmelaččaid beales saji Suoma sámi guovddášsearvái ( SGS:ai ) .
Sáme Ätnam 	čohkká 	maid guovtti stuolu nalde , sihke Sámedikkis ja Sámiráđis , ja geavaha dan láhkai guokte sajádaga sihke NGO-stáhtusa ja parlamentáralaš stáhtusa stáhtalaš sámi álbmotválljen orgánas .
Maŋimuš áiggiid dieđihangaskaoamit leat láitán Sámiráđi Suoma juhkosa go dat 	čohkká 	Sámirádis , ja Min Áigi dadjá juhkosa juobe dološ bázahussan ja dat lea earenoamážit háliidan láhčit Suoma sápmelaččaid beales saji Suoma sámi guovddášsearvái ( SGS:ai ) .
Olgešbeal beavddi 	čohkká 	Berit Fagerli , Luhkkár-Jon-Jovnna leaska , gii muitá Mátti Aikio go son finai Kárášjogas .
Goappašagat muittašeigga go láviiga giehtalagaid 	čohkkát 	skuvllas .
– In dieđe eará čilgehusa dasa go ahte nu bures liikojedje sutnje bohŽmabirrasis , go Matti Aikio ferte leat leamaš viššal 	čohkkát 	dain kafejáin ja šurrat olbmuiguin , lohká son skálkkas .
Ovddeš oahpaheaddji , dálá penšunista , Hánas-Ándde Hánsa , Hans Nergård Kárášjogas , ii gal 	čohkká 	ruossalas gieđaid penšunistadilistis .
Jus háliida dieđihit iežas mielde ealáhussearvai , dahje jus ležžet gažaldagat , de sáhtta fitnat dahje riŋgestit searvvi kantuvrii , gos Camilla Skattvik 	čohkká 	.
Meassu guossit ledje viššalšeappot 	čohkkát 	kafejás ságastallat , go vázzit Báktehárjjis gávppošit .
