 ¶
eallimii fridja servodagas , deattuhit 	ádde 	 ¶
oahpaheaddjit lohket , ahte vánhemat eai álo 	ádde 	maid oahpaheaddjibargu sisttisdoallá ja ¶
sámegiela oalle lunddolaččat go fuomášit , ahte buohkat eai 	ádde 	suomagiela dahje dárogiela . ¶
Mis leat iežamet duhkoraddanhommát ja sii eai 	ádde 	daid birra maidige . ¶
Eai dat 	ádde 	danin go leat nieiddat . ¶
Sirpmá oahppit lohket dattetge birgen bures Ohcejogas , lea álki gávdnat veahki juos ii 	ádde 	juoidá ja guktuid ¶
63 lohkki várra 	ádde 	dovdoma vuos čálli govvádussan , dasto kataforálaččat maiddái ¶
Norgga fitnodagat eai 	ádde 	tweeta ge . ¶
buorrána easka dalle , go 	ádde 	buohcuvuođa buktin dieđu ja go rievdada eallindábiid buoret guvlui . ¶
Mun in 	ádde 	gal daid . ¶
informánta maid čielgasit sirrii iežas eret noaidevuođas : mun in 	ádde 	gal daid . ¶
Máŋggat earátge deattuhit , ahte sii eai dieđe áššis maidige eaige 	ádde 	dan dárkkuhusa . ¶
giela , man suomagielat eallinbiras ii dábálaččat 	ádde 	. ¶
) jos mii leat leamašan gos nu Matta-Suomas dahje diená , olbmuid siste , de doppe , ahte earát eai 	ádde 	maid mii , hállat muhto duon , eai dat gal diená leat , albma láhkai sámástan . ¶
) dat [ sámegielat váhnen ] lea dadjan ahte dat danin ii hállan go dat lei nu ollu eret ruovttus bargamin , nu dasto go dat bođii ruoktot ja oinnii min [ mánáid ] nu vehá áigge ahte ii dat dasto viššan hállat dakkár giela , man mii eat 	ádde 	. ¶
) na galhan dat , ( ( čaibmá ) ) áibbas buorrin dan [ ahte studere sámegiela Giellagasas ] atniba vaikko eaba dat vealttakeahttá nu universitehtahommáid birra 	ádde 	maidige , eaba dat dieđe veláge [ nubbi váhnen ] maid mun studeren . ¶
Goalmmádis eai lean sámi máttut , ja son dajaige , ahte kultuvrras 	ádde 	eanet , go máhttá ¶
) eanet 	ádde 	kultuvrras , go lea oahppan dan giela maiddái . ¶
máhtán mun diená ahte , mun oalle ollu jo ádden dahje measta visot , dahje in dieđus buot sániid 	ádde 	muhto , goit , dan mas lea sáhka . ¶
mus lea dasge vehá ahte , in mun dego , vealttakeahttá 	ádde 	ahte mii dat lea dat nuortasuopman ja oarjesuopman . ¶
) mu mielas dat oppa áigge šaddá lágabun dat giella go 	ádde 	ja oahppá , mun jáhkan , dahje goit sávan ahte das lea boahtteáiggis velá stuorát mearkkašupmi ahte duođas , ahte hálašiige veháš . ¶
Jus nubbi olmmoš ii 	ádde 	, maid don dajat , ¶
) na lávvoeahkedis galhan doppe soaitá muhtun [ sámástit ] muhto go doppege leat dakkáratge geat , eai dasto 	ádde 	. ¶
Ruoššas dakkár giela eai 	ádde 	. ¶
bures , de son ii gal 	ádde 	manin dakkárat , geat máhttet sámegiela eatnigiela láhkai ¶
na in gal dieđe dasgo in iešge máhte nu , £ [ in ] leat mihkkige erenomáš buorre ja áiggon hállat nu£ , in gal 	ádde 	manin dat oppa nu jurddašit . ¶
Juos dan 	ádde 	ii boahtevuohta oro nu gáfat , eaige horrormuitalusat dihtoriid seahkaneamis boahtte dálvve nu dehálaččan . ¶
Juos dán 	ádde 	ii boahtevuohta oro nu gáfat , eaige horrormuitalusat dihtoriid seahkaneamis boahtedálvve nu dehálaččan . ¶
Piera Jovsset gal oaivvilda ahte gávdnojit sámit geat eai 	ádde 	man dehálaš lea gáhttet máttar Nuorttanastái : ¶
Mun ádden lávlaga dalááiggi estehtalaččat hábmejuvvon duohtavuođa 	ádde 	jupmin ja boahtteáiggi rahčamuššan , iige dološáiggi nostalgiijan . ¶
Lahko nan ládju , ja mo dat de muitala gahpira leavvama ja saji sápmelaš duodje 	ádde 	jumis dan áiggis . ¶
Konteavstta sáhttá atnit spesifalažžan dan dáfus , go čálli buktá ášši ovdan nu ahte lohkki 	ádde 	áššedili dihto áigemuttu faktuála duođalašvuohtan . ¶
Divššár lea baic ce dagal duv van iežas virggálaš jurddašanmállii , ii ge oainne eará dearvvas vuođa 	ádde 	jumiid go iežas . ¶
Manne lea diekkár diehto 	ádde 	jupmi jierpmálaš ja mo dan vuođuštit ? ¶
Lanja ja báikki 	ádde 	jupmi ja dasa guoski organiseren leat dehálaš oassi sosiála eallimis . ¶
) Áiggi kontrolleren gáidada olbmo kosmologalaš 	ádde 	jumis . ¶
Skuvlla ortnegat leat oktavuođas áigeáddejupmái , báike 	ádde 	jupmái ja diehtoáddejupmái , mat oarjemáilmmis leat earáláganat go veardida daid sámiid áddejupmái . ¶
Lean dán čállosis válddahallan sámi oahpahusa áige , báike ja diehto 	ádde 	jumi . ¶
) Boazodoalus sáhttá muhtun doahpagiid gohčodit « vuođđodoaban » dan 	ádde 	oppas ja čiegar . ¶
Lea ollu álkit oahppat lohkat ja čállit go 	ádde 	giela mas lea sáhka . ¶
Árvvut vulget das mo muhtun biras , kultuvra dahje servodat ovttas lea 	ádde 	n daid . ¶
) Maiddái Bharucha oaidná iežas hutkáivuođa 	ádde 	tuha sihke dan áiggi mas dál eallá olmmoš , ja dan áiggi mii lea leamaš ( ibid . ¶
Nu go 	ádde 	n su , de govve hutkáivuođa mas vuolggasadji lea heivehallan . ¶
Mánáide lea lunddolaš geavahit iežaset eatnigiela iežaset oahpaheaddjiin háladettiin , eandalii go sii dihtet ahte oahpaheaddji 	ádde 	sin . ¶
Vai 	ádde 	giela sisdoalu , ii dárbbaš áddet juohke sáni . ¶
Mearkkašumit fertejit dattege leat 	ádde 	hahtti ja vejolaččat fáhtet . ¶
Dienu lea vejolaš dulkot , ahte Johan Turi 	ádde 	giissá doaimma guovtti láhkai : gihlivuorkán ja dábálaš vuorkán . ¶
Navddán ahte Turi lea duddjon dan ja su áigumuš dáinna dujiin lei čájehit mo sápmelaš 	ádde 	áššiid nugo ieš čállá girjjis Muitalus sámiid birra ( Turi 2010 ( 1910 ) : 11 ) . ¶
Son čállá girjjistis ahte go sápmelaš boahtá moskkus gámmárii , de ii 	ádde 	nu ollu , danne go biegga ii beasa bossut njuni vuostá ( ibid ) . ¶
Dan dihtii su girjjit leat esseijat ja diehtogáldut , ja nugo buori esseija ferte dulkot ovdal dan ollásit 	ádde 	, nu lea maiddá Johan Turi čállinhámiin ge – dan ferte dárkilit guorahallat ja árvvoštallat , dálá nuorat buolva soaitá dárbbašit lohkanveahki , čilgemiid ja gaskkusteami nu go jo klassihkalaš girjjálašvuođain muđui ge . ¶
Ere noamá « [ L ] ea váttis sutnje gii ii 	ádde 	sámegiela ja dan erenoamáš geažuhan hupmanmálle , áddet buot beliid dan gulahallamis mii sámiin lea gaskaneaset » . ¶
Giela han dieđusge sáhttá oahppat artikulerejuvvon njuolggadusaid bokte , muhto giela siskkáldas mearkkašumiid ja konnotašuvdnadásiid oahppan gáibida čiekŋalut 	ádde 	jumi . ¶
Dat mearkkaša dan , ahte son guhte ollásit 	ádde 	koda sáhttá dasge ávkkástallat . ¶
Don it 	ádde 	, itge leat áidna , naba ieš ? ¶
románas Máhte báikkis eanaš olbmot leat dálo laččat , eai ge 	ádde 	riekta Heaikka čállinviggamušaid . ¶
Go lea sáhka eará go eatnigielmáhtus , de sáhttá maid leat nu ahte olmmoš 	ádde 	nuppi giela muhto ii máhte dahje roahkat hállat . ¶
	ádde 	ja hállá , hálddaša giela sihke guldaleaddjin ja hállin , ja dakkár giellamáhttu gohčoduvvo ma láhkai go eatnigielat olmmoš . ¶
Pragmatihkalaš máhtuin 	ádde 	maid giella geavaheami mii man nu láhkai spiehkkasa sátnegirječilgehusain , nugo metaforalaš geavaheami omd. Freeman 1999 mielde ) . ¶
Lea iešalddis čielggas , ahte jos oahppi ii 	ádde 	dákkár rehkenastinbihtáid sániid ja teavstta , de dat dahká oahppama váttisin . ¶
10. jahkeceahki loahppaeksámena čađaheami árvvoštallanbagadusas boahtá čielgasit ovdan dábálaš giela ja matematihkkagiela máhttodási gáibádus , go daddjo ahte vuođaid , jos dušše dovdá sáni muhto ii 	ádde 	dan doabasisdoalu , geavahuvvošii dal makkár tearbma ihkinassii . ¶
Oahppo diimmuid áigge gažaldagat , čilgehusat ja ságastallamat nannejit sihke doaba 	ádde 	jumi ja fágamáhtu . ¶
